STR_LANGUAGE                                        {中文（繁體）}
STR_WTDMSG7                                         {請提供以下文件，然後再試一次}
STR_WTDMSG8                                         {閃爍整個NOR被禁用。\ n \ n名稱的NOR轉儲正確，使駟馬只有EID0部分。\ n \ n [*。EID0.NORBIN]必須16MB，並從您的控制台。\ n只有192字節將被寫入到閃存（EID0）。 }
STR_WTDMSG9                                         {閃爍，整個NAND被禁用。\ n \ n名稱的nand恢復正常，使駟馬只有EID0部分。\ n \ n [*。EID0.NANDBIN]必須是239MB或256MB，並從您的控制台。\ n只192字節將被寫入到閃存（EID0）。 }
STR_MAINNORBG                                       {您的系統不兼容REBUG配置下運行！\ n \ n某些選項將不可用。 }
STR_MAINNOCOB                                       {您的系統不兼容REBUG COBRA配置下運行！\ n \ nToggling COBRA將不可用。 }
STR_MAINNOFW                                        {無法檢測固件版本，按確定退出。 }
STR_MAINERRFLASH                                    {無法訪問FLASH設備，按確定退出。 }
STR_SCRSHTSAVED                                     {截圖保存成功為}
STR_SAVXREG                                         {你想備份/dev_flash2/etc/xRegistry.sys到/ dev_usb000？ }
STR_SAVXREGOK                                       {備份完成！\ nxRegistry.sys備份到/ dev_usb000}
STR_SAVXREGERR1                                     {錯誤！\ nxRegistry.sys未備份}
STR_SAVXREGERR2                                     {錯誤！\ n有沒有連接到dev_usb000存儲設備}
STR_SAVXREGERR3                                     {錯誤：/dev_flash2/etc/xRegistry.sys沒有被發現！ }
STR_RESXREG                                         {你想從/ dev_usb000恢復xRegistry.sys？ }
STR_RESXREGOK                                       {恢復完成！\從恢復nxRegistry.sys / dev_usb000}
STR_RESXREGERR1                                     {錯誤！\ nxRegistry.sys未還原}
STR_RESXREGERR2                                     {錯誤：/dev_usb000/xRegistry.sys沒有被發現！ }
STR_MAKPKGOK                                        {文件夾[/ dev_hdd0 /包]創建成功。 }
STR_MAKPKGERR                                       {無法創建[/ dev_hdd0 /包]文件夾！ }
STR_LOADLV2KERR1                                    {無效LV2內核文件選擇！ }
STR_LOADLV2K                                        {你想加載所選LV2內核和軟重啟？ }
STR_LOADLV2KNOSPACE                                 {沒有在/ dev_flash足夠的自由空間！ }
STR_LOADLV2KCHKLV1                                  {檢查LV1，請稍候...}
STR_LOADLV2KERR2                                    {LV2內核：操作失敗。 }
STR_BOOTOOSMSG1                                     {你想改變啟動順序，使所有LV1補丁和負載otheros的？ }
STR_BOOTOOSMSG2                                     {你想改變啟動順序和負載otheros的？ }
STR_BOOTOOSERR1                                     {otheros的：操作失敗。 }
STR_SWPKERR                                         {此功能不可用CEX模式。\ n \ n請先閃了DEX NOR / NAND。 }
STR_DMPFLSH                                         {你想FLASH存儲器導出到文件？ }
STR_DMPFLSHERR                                      {請插入至少有256MB的免費USB驅動器（/ dev_usb000），然後再試一次！ }
STR_EXPLVMSG1                                       {你想GameOS LV2內存導出到一個文件？ }
STR_EXPLVMSG2                                       {你想HV LV1內存導出到一個文件？ }
STR_EXPLVWAIT                                       {請稍候...}
STR_EXPLVOK                                         {GameOS內存成功導出到文件}
STR_EXPLVERR                                        {GameOS內存導出失敗！\ n \ n無法創建}
STR_EXPLVMSG3                                       {導出虛擬機管理程序（LV1）內存文件}
STR_EXPLVMSG5                                       {導出GameOS內存文件}
STR_EXPLVMSG4                                       {請稍候，可能需要大約5分鐘...}
STR_EXPLVOK2                                        {內存管理程序成功導出到文件}
STR_EXPLVERR2                                       {Hypervisor的存儲導出失敗！\ n \ n無法創建}
STR_MODNORM                                         {[NORMAL MODE]現在是活動的。\ n \ n系統會自動重啟，當你退出。 }
STR_TRYAGAIN                                        {失敗：請重試}
STR_MODNORMALRD                                     {[NORMAL MODE]已經設定！ }
STR_MODREB                                          {[REBUG模式]現在是活動的。\ n \ n系統會自動重啟，當你退出。 }
STR_MODREBALRD                                      {[REBUG MODE]已經設定！ }
STR_WMDIS                                           {WebMAN被禁用時，系統會自動重啟，當你退出。 }
STR_WMENA                                           {WebMAN被啟用。webMAN將在下次啟動加載。\ n \ n請務必使webMAN後使COBRA}
STR_MODRET                                          {[零售XMB]現在是活動的。\ n \ n系統會自動重啟，當你退出。 }
STR_MODRETERR1                                      {請嘗試[DEBUG XMB]}
STR_MODRETERR2                                      {UNAVAILABLE [標準模式]}
STR_MODDEB                                          {[DEBUG XMB]現在是活動的。\ n \ n系統會自動重啟，當你退出。 }
STR_MODDEBERR1                                      {請嘗試[零售XMB]}
STR_MODDEBERR2                                      {UNAVAILABLE [標準模式]}
STR_MODDEBSQA                                       {[DEBUG設置：MENU CEX QA]現在是活動的\ n \ n系統會自動重啟，當你退出。 }
STR_MODDEBSQAOK                                     {[DEBUG設置：MENU CEX QA]現在是活動的。 }
STR_MODDEBSQAERR1                                   {[DEBUG設置：MENU CEX QA]失敗}
STR_MODDEBSQAERR2                                   {TRY [DEBUG設置：MENU DEBUG]}
STR_MODDEBSDEB                                      {[DEBUG設置：MENU DEBUG]現在是活動的\ n \ n系統會自動重啟，當你退出。 }
STR_MODDEBSDEBOK                                    {[DEBUG設置：MENU DEBUG]現在是活動的。 }
STR_MODDEBSDEBERR1                                  {[DEBUG設置：MENU DEBUG]失敗}
STR_MODDEBSDEBERR2                                  {TRY [DEBUG設置：MENU CEX QA]}
STR_MODCOBENA                                       {COBRA模式啟用。 }
STR_MODCOBDIS                                       {COBRA模式禁用。 }
STR_ERRFLASH                                        {閃光燈錯誤，請重新安裝固件來解決這個問題}
STR_PS2ERR1                                         {在HDD或USB（dev_usb000）沒有找到PS2Emu文件。 }
STR_PS2CONT                                         {繼續PS2Emu文件從USB（dev_usb000）複製？ }
STR_PS2COP                                          {從USB複製PS2Emu文件！ }
STR_PS2SWPOK                                        {PS2Emu換！\ nReboot更改生效。 }
STR_XMBCFWDIS                                       {XMB CFW設置MOD被禁用。該插件將在下次啟動時被卸載。 }
STR_XMBCFWENA                                       {XMB CFW設置啟用Mod。該功能將通過XMB上的網絡列可用。 }
STR_FLASHSET                                        {標誌已設置。 }
STR_1                                               {數據保存為：}
STR_2                                               {處理：}
STR_3                                               {在MB}
STR_4                                               {最小值}
STR_5                                               {MB /秒}
STR_READFLASHERROR1                                 {同時訪問數據\ n \ nSectors讀取時出現錯誤：}
STR_READFLASHERROR2                                 {\ n總計部門：} 
STR_TOGHOSTINF              {Toggle Host Information on XMB [DEX]}
STR_TOGHOSTINFDESC          {Enable or Disable Host Information on XMB}
