STR_LANGUAGE                                        {中文 (简体）}
STR_SAVEIDRKDESC                                    {在dev_hdd0 /游戏/ RBGTLBOX2 / USRDIR / eid_root_key转储EID根密钥。}
STR_PS3ID                                           {更改活动PS3ID}
STR_PS3IDDESC                                       {欺骗国内流离失所者LV2的记忆。}
STR_USE                                             {使用}
STR_SM                                              {系统模式}
STR_SMDESC                                          {正常和REBUG模式之间切换。}
STR_XMBOM                                           {XMB操作模式}
STR_XMBOMDESC                                       {零售和调试XMB之间切换。}
STR_MENU                                            {调试菜单类型}
STR_MENUDESC                                        {CEX QA和DEX调试菜单之间进行切换。}
STR_TOGCFW                                          {切换XMB CFW设置}
STR_TOGCFWDESC                                      {启用或禁用XMB CFW设置v0.1a（MOD）}
STR_TOGCOB                                          {切换COBRA模式}
STR_TOGCOBDESC                                      {启用或下次重新启动禁用COBRA模式。}
STR_TOGPS2                                          {切换PS2模拟器}
STR_TOGPS2DESC                                      {PS2Emu互换使用原装PS2鸸鹋文件。}
STR_TOGWM切换                                       { webMAN} 
STR_TOGWMDESC                                       {启用或下次重新启动禁用集成webMAN。}
STR_NORBG                                           {REBUG选择功能不可用}
STR_NORBGDESC                                       {请安装REBUG REX / D-REX固件访问选择功能。}
STR_PATCHLV1                                        {LV1皮克/戳支持}
STR_PATCHLV1DESC                                    {补丁未使用系统调用LV1 182和183}
STR_LV2MEMPRO                                       {LV2内存保护}
STR_LV2MEMPRODESC                                   {上LV2修改补丁关机。}
STR_HTAB                                            {HTAB映射带写保护}
STR_HTABDESC                                        {启用或禁用保护HTAB映射。}
STR_INDI                                            {访问所有INDI信息管理器服务}
STR_INDIDESC                                        {启用或禁用INDI访问。}
STR_EEPROM                                          {更新管理器EEPROM写访问}
STR_EEPROMDESC                                      {补丁更新管理器访问EEPROM。}
STR_DISPATCH                                        {调度管理访问}
STR_DISPATCHDESC                                    {补丁调度管理访问所有服务。}
STR_ENCDEC                                          {允许ENCDEC ioctl命令0x85未}
STR_ENCDECDESC                                      {启用ioctl命令0x85未}
STR_SYSMAN                                          {系统管理GameOS能力面膜}
STR_SYSMANDESC                                      {允许访问所有系统管理服务。}
STR_ALLPKG                                          {提取所有PKG类型}
STR_ALLPKGDESC                                      {允许更新管理器来提取所有PKG类型。}
STR_LPAR                                            {中的任何LPAR回购节点完全访问}
STR_LPARDESC                                        {允许创建，修改，删除存储库节点。}
STR_LV1SPE                                          {LV1完整存取MFC_SR1 SPE注册}
STR_LV1SPEDESC                                      {允许所有位访问寄存器。}
STR_LV1DABR                                         {LV1访问组数据断点}
STR_LV1DABRDESC                                     {启用与lv1_set_dabr LV1访问}
STR_LV1GART                                         {LV1访问GPU内存GART}
STR_LV1GARTDESC                                     {允许LV1使用4KB IO页面大小。}
STR_LV1KEYS                                         {存储管理器ENCDEC键访问}
STR_LV1KEYSDESC                                     {允许存储管理器来清除ENCDEC键。}
STR_LV1ACL                                          {跳过所有ACL检查}
STR_LV1ACLDESC                                      {启用ACL检查所有存储设备的跳跃。}
STR_LV1GO                                           {初始的GuestOS装载机}
STR_LV1GODESC                                       {启用GameOS的GuestOS模式1}
STR_SWPLV2K                                         {交换LV2内核}
STR_SWPLV2KDESC                                     {零售和调试内核之间切换。}
STR_REWTID                                          {重写目标ID在Flash}
STR_REWTIDDESC                                      {转换的PS3 CEX如果提供/ DEX有效闪光输出/ eid_root_key。}
STR_NOCEXDEX                                        {CEX / DEX功能不可用}
STR_NOCEXDEXDESC                                    {安装REBUG REX版来访问这些功能。}
STR_SELECT                                          {：选择}
STR_HOLDQUITREB                                     {：按住以退出并重启}
STR_HOLDQUIT                                        {：按住以退出}
STR_FREEHDD                                         {硬盘空间}
STR_NUMFW                                           {PS3\xE2\x84\xA2 SYSTEM: 固件}
STR_IP                                              {IP地址}
STR_QUITXMB                                         {退出到XMB？}
STR_CHANGEIDPSOK1                                   {产品成功应用于}
STR_CHANGEIDPSOK2                                   {更改LV2内存。\ n \ n当前目标ID设置为}
STR_CHANGEIDPSERROR                                 {同时寻找IDPS出错}
STR_SWP2DEXOK                                       {LV2内核成功更改为DEX /调试。}
STR_SWP2CEXOK                                       {LV2内核成功更改为CEX /零售。}
STR_SWPERROR                                        {不兼容的固件版本或发生错误。}
STR_NEEDRESTSYS                                     {系统需要重新启动。按OK键重启}
STR_WEIDERROR1                                      {错误访问时发生闪}
STR_WEIDERROR2                                      {您提供的文件与您的系统兼容！}
STR_WEIDRUSURE1                                     {你是即将更新您的PS3™地区/目标ID \ n \ NREGION /目标ID：！}
STR_WEIDRUSURE2                                     {ARE YOU SURE？}
STR_WEIDRUSURE3                                     {您将要改变你的PS3™地区/目标ID \ n当前ID：！}
STR_WEIDRUSURE4                                     {新的ID：}
STR_WEIDRRUUSURE                                    {警告：\ n \ n此操作十分危险，应该进行只有当你有信心\ n \钠 - [R E YØ美üř电子！？}
STR_WEIDOK1                                         {闪EID0区域覆盖成功（192字节）。\ n \ n请退出到XMB，关闭和开启系统！}
STR_WEIDOK2                                         {闪EID0区域覆盖成功（192字节）。\ n \ n要应用区域变化，请不干XMB，关闭和开启系统！}
STR_WEIDERROR3                                      {错误写入闪存EID0！}
STR_WEIDERROR4                                      {错误访问FLASH设备！}
STR_WTDMSG1                                         {您的固件和电流模式}
STR_WTDMSG2                                         {让你倾倒eid_root_key。\ n您可以转储和DEX转换为CEX，反之亦然使用此工具箱。\ n如果你有你的根密钥放在/ dev_hdd0 /游戏/ RBGTLBOX2 / USRDIR / eid_root_key，那么你将现在选择的欢迎。}
STR_WTDMSG3                                         {如果你有/ dev_hdd0 /游戏/ RBGTLBOX2 / USRDIR / eid_root_key比你一个选择，现在迎接你的根密钥。}
STR_WTDMSG4                                         {发现eid_root_key，你想从自动转换}
STR_WTDMSG5                                         {找到真正的DEX \ nCEX交换将区域ID更改为美国（的0x84）}
STR_WTDMSG6                                         {时发生错误。\ n \ n请验证您的eid_root_key，您的密钥可能已损坏或别人的}
STR_WTDMSG7                                         {请提供以下文件，然后再试一次}
STR_WTDMSG8                                         {闪烁整个NOR被禁用。\ n \ n名称的NOR转储正确，使驷马只有EID0部分。\ n \ n [*。EID0.NORBIN]必须16MB，并从您的控制台。\ n只有192字节将被写入到闪存（EID0）。}
STR_WTDMSG9                                         {闪烁，整个NAND被禁用。\ n \ n名称的nand恢复正常，使驷马只有EID0部分。\ n \ n [*。EID0.NANDBIN]必须是239MB或256MB，并从您的控制台。\ n只192字节将被写入到闪存（EID0）。}
STR_MAINNORBG                                       {您的系统不兼容REBUG配置下运行！\ n \ n某些选项将不可用。}
STR_MAINNOCOB                                       {您的系统不兼容REBUG COBRA配置下运行！\ n \ nToggling COBRA将不可用。}
STR_MAINNOFW                                        {无法检测固件版本，按确定退出。}
STR_MAINERRFLASH                                    {无法访问FLASH设备，按确定退出。}
STR_SCRSHTSAVED                                     {截图保存成功为}
STR_SAVXREG                                         {你想备份/dev_flash2/etc/xRegistry.sys到/ dev_usb000？}
STR_SAVXREGOK                                       {备份完成！\ nxRegistry.sys备份到/ dev_usb000}
STR_SAVXREGERR1                                     {错误！\ nxRegistry.sys未备份}
STR_SAVXREGERR2                                     {错误！\ n有没有连接到dev_usb000存储设备}
STR_SAVXREGERR3                                     {错误：/dev_flash2/etc/xRegistry.sys没有被发现！}
STR_RESXREG                                         {你想从/ dev_usb000恢复xRegistry.sys？}
STR_RESXREGOK                                       {恢复完成！\从恢复nxRegistry.sys / dev_usb000}
STR_RESXREGERR1                                     {错误！\ nxRegistry.sys未还原}
STR_RESXREGERR2                                     {错误：/dev_usb000/xRegistry.sys没有被发现！}
STR_MAKPKGOK                                        {文件夹[/ dev_hdd0 /包]创建成功。}
STR_MAKPKGERR                                       {无法创建[/ dev_hdd0 /包]文件夹！}
STR_LOADLV2KERR1                                    {无效LV2内核文件选择！}
STR_LOADLV2K                                        {你想加载所选LV2内核和软重启？}
STR_LOADLV2KNOSPACE                                 {没有在/ dev_flash足够的自由空间！}
STR_LOADLV2KCHKLV1                                  {检查LV1，请稍候...}
STR_LOADLV2KERR2                                    {LV2内核：操作失败。}
STR_BOOTOOSMSG1                                     {你想改变启动顺序，使所有LV1补丁和负载otheros的？}
STR_BOOTOOSMSG2                                     {你想改变启动顺序和负载otheros的？}
STR_BOOTOOSERR1                                     {otheros的：操作失败。}
STR_SWPKERR                                         {此功能不可用CEX模式。\ n \ n请先闪了DEX NOR / NAND。}
STR_DMPFLSH                                         {你想FLASH存储器导出到文件？}
STR_DMPFLSHERR                                      {请插入至少有256MB的免费USB驱动器（/ dev_usb000），然后再试一次！}
STR_EXPLVMSG1                                       {你想GameOS LV2内存导出到一个文件？}
STR_EXPLVMSG2                                       {你想HV LV1内存导出到一个文件？}
STR_EXPLVWAIT                                       {请稍候...}
STR_EXPLVOK                                         {GameOS内存成功导出到文件}
STR_EXPLVERR                                        {GameOS内存导出失败！\ n \ n无法创建}
STR_EXPLVMSG3                                       {导出虚拟机管理程序（LV1）内存文件}
STR_EXPLVMSG5                                       {导出GameOS内存文件}
STR_EXPLVMSG4                                       {请稍候，可能需要大约5分钟...}
STR_EXPLVOK2                                        {内存管理程序成功导出到文件}
STR_EXPLVERR2                                       {Hypervisor的存储导出失败！\ n \ n无法创建}
STR_MODNORM                                         {[NORMAL MODE]现在是活动的。\ n \ n系统会自动重启，当你退出。}
STR_TRYAGAIN                                        {失败：请重试}
STR_MODNORMALRD                                     {[NORMAL MODE]已经设定！}
STR_MODREB                                          {[REBUG模式]现在是活动的。\ n \ n系统会自动重启，当你退出。}
STR_MODREBALRD                                      {[REBUG MODE]已经设定！}
STR_WMDIS                                           {WebMAN被禁用时，系统会自动重启，当你退出。}
STR_WMENA                                           {WebMAN被启用。 webMAN将在下次启动加载。\ n \ n请务必使webMAN后使COBRA}
STR_MODRET                                          {[零售XMB]现在是活动的。\ n \ n系统会自动重启，当你退出。}
STR_MODRETERR1                                      {请尝试[DEBUG XMB]}
STR_MODRETERR2                                      {UNAVAILABLE [标准模式]}
STR_MODDEB                                          {[DEBUG XMB]现在是活动的。\ n \ n系统会自动重启，当你退出。}
STR_MODDEBERR1                                      {请尝试[零售XMB]}
STR_MODDEBERR2                                      {UNAVAILABLE [标准模式]}
STR_MODDEBSQA                                       {[DEBUG设置：MENU CEX QA]现在是活动的\ n \ n系统会自动重启，当你退出。}
STR_MODDEBSQAOK                                     {[DEBUG设置：MENU CEX QA]现在是活动的。}
STR_MODDEBSQAERR1                                   {[DEBUG设置：MENU CEX QA]失败}
STR_MODDEBSQAERR2                                   {TRY [DEBUG设置：MENU DEBUG]}
STR_MODDEBSDEB                                      {[DEBUG设置：MENU DEBUG]现在是活动的\ n \ n系统会自动重启，当你退出。}
STR_MODDEBSDEBOK                                    {[DEBUG设置：MENU DEBUG]现在是活动的。}
STR_MODDEBSDEBERR1                                  {[DEBUG设置：MENU DEBUG]失败}
STR_MODDEBSDEBERR2                                  {TRY [DEBUG设置：MENU CEX QA]}
STR_MODCOBENA                                       {COBRA模式启用。}
STR_MODCOBDIS                                       {COBRA模式禁用。}
STR_ERRFLASH                                        {闪光灯错误，请重新安装固件来解决这个问题}
STR_PS2ERR1                                         {在HDD或USB（dev_usb000）没有找到PS2Emu文件。}
STR_PS2CONT                                         {继续PS2Emu文件从USB（dev_usb000）复制？}
STR_PS2COP                                          {从USB复制PS2Emu文件！}
STR_PS2SWPOK                                        {PS2Emu换！\ nReboot更改生效。}
STR_XMBCFWDIS                                       {XMB CFW设置MOD被禁用。该插件将在下次启动时被卸载。}
STR_XMBCFWENA                                       {XMB CFW设置启用Mod。该功能将通过XMB上的网络列可用。}
STR_FLASHSET                                        {标志已设置。}
STR_1                                               {数据保存为：}
STR_2                                               {处理：}
STR_3                                               {在MB}
STR_4                                               {最小值}
STR_5                                               {MB /秒}
STR_READFLASHERROR1                                 {同时访问数据\ n \ nSectors读取时出现错误：} 
STR_READFLASHERROR2                                 {\ n总计部门：}
STR_TOGHOSTINF              {Toggle Host Information on XMB [DEX]}
STR_TOGHOSTINFDESC          {Enable or Disable Host Information on XMB}
